# Always On, Heating & A/C, Refrigeration, Dryer, Cooking, Other, Datetime Midpoint
1.98,0,0.792,0.528,0,0.072, 2009-09-10T11:00:00
1.98,0.036,1.584,2.424,0,3.666, 2009-09-10T17:00:00
1.68,0,1.638,0,0,0, 2009-09-10T23:00:00
1.62,0,1.62,0.18,0,0, 2009-09-11T05:00:00
1.62,0,1.428,0.261,0,0.252, 2009-09-11T11:00:00
1.62,4.788,2.418,0.591,2.88,2.73, 2009-09-11T17:00:00
1.968,0,3.402,0.043,0,0, 2009-09-11T23:00:00
2.04,0,0.972,0.993,0,1.2, 2009-09-12T05:00:00
2.04,0,1.974,1.146,0,1.914, 2009-09-12T11:00:00
2.04,0,1.854,0.603,1.236,3.588, 2009-09-12T17:00:00
2.19,0,0.762,0.561,0,0.03, 2009-09-12T23:00:00
2.22,0,0.942,0.297,0,0.234, 2009-09-13T05:00:00
2.22,0,1.422,0.594,0,0.852, 2009-09-13T11:00:00
2.22,0,1.764,1.128,0,1.29, 2009-09-13T17:00:00
1.968,0,0.366,0.405,0,0, 2009-09-13T23:00:00
1.92,0,0.702,0.354,0,0.15, 2009-09-14T05:00:00
1.92,0,2.034,0.216,0,0, 2009-09-14T11:00:00
1.92,0,1.476,0.03,0,5.004, 2009-09-14T17:00:00
1.968,0,0.444,0.483,0,0.27, 2009-09-14T23:00:00
1.98,0,0.96,0.453,0,1.428, 2009-09-15T05:00:00
1.98,0,0.912,0.369,0,0.012, 2009-09-15T11:00:00
1.98,0,1.566,3.483,0,6.36, 2009-09-15T17:00:00
1.83,1.242,0.162,0.582,0,0.462, 2009-09-15T23:00:00
1.8,0.12,1.242,1.473,0,0.228, 2009-09-16T05:00:00
1.8,0.132,1.638,1.032,0,0.228, 2009-09-16T11:00:00
1.8,0.894,1.974,1.95,0,1.23, 2009-09-16T17:00:00
1.998,0.414,0.516,0.228,0,0.006, 2009-09-16T23:00:00
2.04,0,1.644,0.123,0,0.33, 2009-09-17T05:00:00
2.04,0,2.784,0,0,0.006, 2009-09-17T11:00:00
2.04,0,2.004,0.87,0,3.54, 2009-09-17T17:00:00
1.842,0,0.27,0.453,0,0, 2009-09-17T23:00:00
1.8,0.132,0.894,3.321,0,6.564, 2009-09-18T05:00:00
1.8,0,0.216,0.477,0,0, 2009-09-18T11:00:00
1.8,0,0.198,0.495,0,0, 2009-09-18T17:00:00
1.752,0,0.162,0.453,0,0, 2009-09-18T23:00:00
1.74,0,0.156,0.465,0,0.006, 2009-09-19T05:00:00
1.74,0,0.348,0.459,0,0, 2009-09-19T11:00:00
1.74,0,0.216,0.465,0,0.006, 2009-09-19T17:00:00
1.74,0,0.168,0.477,0,0, 2009-09-19T23:00:00
1.74,0,0.162,0.444,0,0, 2009-09-20T05:00:00
1.74,0,0.186,0.45,0,0, 2009-09-20T11:00:00
1.74,0,0.186,0.45,0,0, 2009-09-20T17:00:00
1.74,0,0.264,0.471,0,0, 2009-09-20T23:00:00
1.74,0,0.696,0.321,0,0.168, 2009-09-21T05:00:00
1.74,0,1.776,0.42,0,0.006, 2009-09-21T11:00:00
1.74,0,1.05,0.465,0,0.048, 2009-09-21T17:00:00
1.788,0,0.45,0.606,0,0.006, 2009-09-21T23:00:00
1.8,0,1.074,0.348,0,0.186, 2009-09-22T05:00:00
1.8,0,1.5,0.375,0,0.006, 2009-09-22T11:00:00
1.8,0,1.866,0.753,0,1.968, 2009-09-22T17:00:00
1.848,0,0.24,0.474,0,0, 2009-09-22T23:00:00
1.86,0,0.648,0.681,0,0.144, 2009-09-23T05:00:00
1.86,0,2.586,0,0,0, 2009-09-23T11:00:00
1.86,0,1.488,0.405,0,0.396, 2009-09-23T17:00:00
2.658,0,1.332,0,0,0, 2009-09-23T23:00:00
2.82,0,1.074,0,0,1.788, 2009-09-24T05:00:00
2.82,0,0.492,0.954,0,1.098, 2009-09-24T11:00:00
2.82,0,1.182,2.448,0,3.708, 2009-09-24T17:00:00
2.472,0,0.636,0.396,0,1.638, 2009-09-24T23:00:00
2.4,0,1.266,1.971,0,7.656, 2009-09-25T05:00:00
2.4,0,0.708,0.663,0,0.15, 2009-09-25T11:00:00
2.4,0,0.87,0.051,0,1.368, 2009-09-25T17:00:00
1.902,0,0.174,0.471,0,0.006, 2009-09-25T23:00:00
1.8,0,0.594,0.369,0,0.108, 2009-09-26T05:00:00
1.8,0.54,1.458,1.854,0,0.048, 2009-09-26T11:00:00
1.8,0.054,1.326,2.061,6.522,0.618, 2009-09-26T17:00:00
1.848,0,0.42,0.426,0,0, 2009-09-26T23:00:00
1.86,0.024,0.798,0.6,0,0.402, 2009-09-27T05:00:00
1.86,0,0.744,1.746,0,0.192, 2009-09-27T11:00:00
1.86,0,1.686,0.495,1.008,1.008, 2009-09-27T17:00:00
1.908,0,0.198,0.471,0,0, 2009-09-27T23:00:00
1.92,0,0.582,0.381,0,0.15, 2009-09-28T05:00:00
1.92,0,1.242,0.219,0,0, 2009-09-28T11:00:00
1.92,0.312,1.848,0.699,0,1.008, 2009-09-28T17:00:00
1.872,0,0.246,0.405,0,0, 2009-09-28T23:00:00
1.86,0,0.798,0.417,0,0.144, 2009-09-29T05:00:00
1.86,0,1.044,0.261,0,0, 2009-09-29T11:00:00
1.86,0,1.602,1.59,0,0.588, 2009-09-29T17:00:00
1.86,0,0.372,0.423,0,0, 2009-09-29T23:00:00
1.86,0,1.17,0.309,0,0.162, 2009-09-30T05:00:00
1.86,0,1.002,0.48,0,0.03, 2009-09-30T11:00:00
1.86,0,1.08,0.6,0,0.006, 2009-09-30T17:00:00
1.962,0,0.426,0.432,0,0.006, 2009-09-30T23:00:00
1.98,0,0.588,0.402,0,0.192, 2009-10-01T05:00:00
1.98,0,1.77,0.132,0,0.192, 2009-10-01T11:00:00
1.98,0,1.884,0.852,0,0.516, 2009-10-01T17:00:00
1.878,0,0.156,0.456,0,0, 2009-10-01T23:00:00
1.86,0,0.306,0.375,0,1.512, 2009-10-02T05:00:00
1.86,0,0.834,0.165,0,0.228, 2009-10-02T11:00:00
1.86,0.018,1.23,1.707,0,1.872, 2009-10-02T17:00:00
2.31,0,0.828,0.528,0,0.162, 2009-10-02T23:00:00
2.4,0,1.158,0.36,0,0.978, 2009-10-03T05:00:00
2.4,0,1.116,1.179,0,0.726, 2009-10-03T11:00:00
2.4,0,1.884,0.837,0,2.784, 2009-10-03T17:00:00
2.052,0,0.534,0.408,0,0, 2009-10-03T23:00:00
1.98,0.504,1.932,0.849,0,2.04, 2009-10-04T05:00:00
1.98,0,1.008,0.621,0,0.018, 2009-10-04T11:00:00
1.98,0,0.714,0.42,0,0.57, 2009-10-04T17:00:00
1.932,0,0.204,0.432,0,0.006, 2009-10-04T23:00:00
1.92,0,1.212,0.108,0,0.186, 2009-10-05T05:00:00
1.92,0.018,0.252,0.498,0,0, 2009-10-05T11:00:00
1.92,0,1.524,2.232,0,1.746, 2009-10-05T17:00:00
1.32,0,0.126,0.45,0,0, 2009-10-05T23:00:00
1.2,0,0.888,0.336,0,0.156, 2009-10-06T05:00:00
1.2,0,1.548,0,0,0.894, 2009-10-06T11:00:00
1.2,0.354,2.442,0.843,0,1.824, 2009-10-06T17:00:00
1.65,0.018,0.324,0.459,0,0, 2009-10-06T23:00:00
1.74,0,0.912,0.312,0,0.264, 2009-10-07T05:00:00
1.74,0,0.888,0.642,0,0.012, 2009-10-07T11:00:00
1.74,0.594,1.686,0.363,0,0.594, 2009-10-07T17:00:00
1.788,0,0.318,0.438,0,0, 2009-10-07T23:00:00
1.8,0,0.954,0.315,0,0.132, 2009-10-08T05:00:00
1.8,0.036,1.866,2.043,0,2.508, 2009-10-08T11:00:00
1.8,5.274,1.932,1.758,0,4.602, 2009-10-08T17:00:00
1.752,0,0.78,0.513,0,0, 2009-10-08T23:00:00
1.74,0,1.002,0.33,0,0.132, 2009-10-09T05:00:00
1.74,0,1.326,0.225,3.27,0.096, 2009-10-09T11:00:00
1.74,0,0.438,0.426,0,0.006, 2009-10-09T17:00:00
1.74,0,0.174,0.438,0,0, 2009-10-09T23:00:00
1.74,0,0.132,0.42,0,0, 2009-10-10T05:00:00
1.74,0,0.156,0.477,0,0, 2009-10-10T11:00:00
1.74,0,0.162,0.441,0,0.006, 2009-10-10T17:00:00
1.692,0,0.132,0.459,0,0, 2009-10-10T23:00:00
1.68,0,0.126,0.441,0,0, 2009-10-11T05:00:00
1.68,0,0.174,0.423,0,0, 2009-10-11T11:00:00
1.68,0,0.684,0.825,0,1.11, 2009-10-11T17:00:00
1.38,0,0.72,0.396,0,0, 2009-10-11T23:00:00
1.32,0,1.212,0.282,0,0.138, 2009-10-12T05:00:00
1.32,0,0.894,0.339,0,0, 2009-10-12T11:00:00
1.32,0.882,2.028,0.942,0,3.42, 2009-10-12T17:00:00
1.872,0,0.612,0.405,0,0, 2009-10-12T23:00:00
1.98,0,0.648,0.426,0,0.156, 2009-10-13T05:00:00
1.98,0,0.474,0.378,0,1.782, 2009-10-13T11:00:00
1.98,0.042,1.662,0.354,0,1.218, 2009-10-13T17:00:00
1.83,0,0.21,0.42,0,0, 2009-10-13T23:00:00
1.8,0,0.744,0.354,0,0.09, 2009-10-14T05:00:00
1.8,0.234,0.258,0.519,0,0, 2009-10-14T11:00:00
1.8,0,2.442,2.061,0,0.078, 2009-10-14T17:00:00
1.35,0,0,0.429,0,0, 2009-10-14T23:00:00
1.26,0,1.146,0.585,0,0.408, 2009-10-15T05:00:00
1.26,27.09,1.698,3.03,0,4.692, 2009-10-15T11:00:00
1.26,10.164,0.786,0.084,0,1.17, 2009-10-15T17:00:00
1.212,0,0.648,0.261,0,0, 2009-10-15T23:00:00
1.2,11.058,0.654,1.338,0,0.912, 2009-10-16T05:00:00
1.2,13.524,0.834,1.848,0,0, 2009-10-16T11:00:00
1.2,0,0.6,0.333,0,0.006, 2009-10-16T17:00:00
1.2,3.948,0.69,0.432,0,0.018, 2009-10-16T23:00:00
1.2,51.168,0.294,7.575,0,0, 2009-10-17T05:00:00
1.2,16.872,0.396,2.418,0,0, 2009-10-17T11:00:00
1.2,13.278,0.648,0.282,0,1.548, 2009-10-17T17:00:00
1.2,0,0.582,0.225,0,0, 2009-10-17T23:00:00
1.2,13.206,0.564,0.027,0,1.59, 2009-10-18T05:00:00
1.2,25.452,1.188,2.616,0,0.006, 2009-10-18T11:00:00
1.2,35.772,2.076,5.934,0,2.82, 2009-10-18T17:00:00
1.698,2.268,0.9,0.054,0,0.672, 2009-10-18T23:00:00
1.8,11.55,1.386,2.844,0,0.132, 2009-10-19T05:00:00
1.8,0.018,1.56,0.543,0,0.012, 2009-10-19T11:00:00
1.8,1.236,2.142,0.327,0,0.288, 2009-10-19T17:00:00
1.95,17.4,0.57,0,0,0.12, 2009-10-19T23:00:00
1.98,13.998,1.194,0.591,0,0.324, 2009-10-20T05:00:00
1.98,0.198,1.464,1.632,0,0, 2009-10-20T11:00:00
1.98,0,1.914,0.579,0,1.56, 2009-10-20T17:00:00
1.83,1.458,0.774,0.126,0,0, 2009-10-20T23:00:00
1.8,11.55,1.428,2.877,0,0.492, 2009-10-21T05:00:00
1.8,0,1.566,0.567,0,0.006, 2009-10-21T11:00:00
1.8,0,0.954,0.498,0,0.006, 2009-10-21T17:00:00
1.848,0.408,0.708,0.078,0,0.81, 2009-10-21T23:00:00
1.86,11.13,1.014,2.865,0,0.348, 2009-10-22T05:00:00
1.86,0,1.332,0.504,0,0, 2009-10-22T11:00:00
1.86,0.444,1.728,0.636,0,1.188, 2009-10-22T17:00:00
1.812,0,0.75,0,0,0.468, 2009-10-22T23:00:00
1.8,0,1.098,4.272,0,0.3, 2009-10-23T05:00:00
1.8,0,0,8.256,0,0, 2009-10-23T11:00:00
1.8,0,0,8.256,0,0, 2009-10-23T17:00:00
1.65,0,1.5,11.01,1.29,0, 2009-10-23T23:00:00
1.62,0,1.5,2.76,1.53,0, 2009-10-24T05:00:00
1.62,0,1.296,2.58,1.194,0.216, 2009-10-24T11:00:00
1.62,0,0.726,1.374,5.868,0.024, 2009-10-24T17:00:00
1.572,0,1.194,0.828,0,0, 2009-10-24T23:00:00
1.56,0,1.212,0.732,0,0.468, 2009-10-25T05:00:00
1.56,0.696,1.62,0.99,0,0.186, 2009-10-25T11:00:00
1.56,0.18,1.47,0.132,1.068,1.566, 2009-10-25T17:00:00
1.908,1.92,0.906,0.192,0,0.93, 2009-10-25T23:00:00
1.98,11.208,1.908,1.53,0,1.404, 2009-10-26T05:00:00
1.98,0.108,1.512,2.19,0,0.036, 2009-10-26T11:00:00
1.98,0,0,8.256,0,0, 2009-10-26T17:00:00
1.932,0,0,8.25,0,0, 2009-10-26T23:00:00
1.92,0,0,8.256,0,0, 2009-10-27T05:00:00
1.92,23.496,1.77,8.955,0,0.468, 2009-10-27T11:00:00
1.92,0,1.446,0.024,0,0.012, 2009-10-27T17:00:00
1.818,0,0.81,0.138,0,0.594, 2009-10-27T23:00:00
1.8,0,1.734,1.092,0,0.516, 2009-10-28T05:00:00
1.8,0,1.272,6.87,0,0, 2009-10-28T11:00:00
1.8,0.078,2.232,0.12,0,3.702, 2009-10-28T17:00:00
1.5,0,1.254,0.045,0,0.282, 2009-10-28T23:00:00
1.44,0.006,2.16,0.45,0,0.912, 2009-10-29T05:00:00
1.44,0.234,2.334,1.986,0,1.44, 2009-10-29T11:00:00
1.44,0.312,1.56,0.525,0,1.026, 2009-10-29T17:00:00
1.338,0,0.678,0,0,0.336, 2009-10-29T23:00:00
1.32,0,1.632,0.564,0,0.36, 2009-10-30T05:00:00
1.32,0.168,1.674,0.282,0,0.084, 2009-10-30T11:00:00
1.32,0,2.142,2.277,0,0.432, 2009-10-30T17:00:00
1.782,0,0.78,0.042,0,0.252, 2009-10-30T23:00:00
1.878,10.962,1.452,3.06,1.41,0.894, 2009-10-31T05:00:00
1.878,0,0,8.628,0,0, 2009-10-31T11:00:00
1.878,0,0.57,6.378,0,0, 2009-10-31T17:00:00
1.86,0,0.894,0.426,0,0, 2009-10-31T23:00:00
1.86,0,0.954,0.453,0,0.126, 2009-11-01T04:00:00
1.86,0,1.572,3.063,0,1.404, 2009-11-01T10:00:00
1.86,0,1.8,0.513,1.17,2.64, 2009-11-01T16:00:00
1.98,1.938,0.834,0.561,0,1.992, 2009-11-01T22:00:00
1.98,0,1.458,0.375,0,0.222, 2009-11-02T04:00:00
1.98,0.306,1.326,0.225,0,0.264, 2009-11-02T10:00:00
1.98,29.502,1.764,3.39,0,3.12, 2009-11-02T16:00:00
2.1,0.672,0.786,0,0,1.056, 2009-11-02T22:00:00
2.1,11.238,1.08,1.161,0,1.158, 2009-11-03T04:00:00
2.1,0.108,1.128,0.357,0,1.062, 2009-11-03T10:00:00
2.1,1.086,1.884,1.458,0,0.552, 2009-11-03T16:00:00
1.74,0.642,0.768,0,0,1.644, 2009-11-03T22:00:00
1.74,11.202,1.35,1.218,0,1.068, 2009-11-04T04:00:00
1.74,0.006,1.128,0.501,0,0.048, 2009-11-04T10:00:00
1.74,1.32,1.506,1.782,0,2.958, 2009-11-04T16:00:00
1.98,0,2.784,0,0,0, 2009-11-04T22:00:00
1.98,0,2.73,0,0,0, 2009-11-05T04:00:00
1.98,0,0.948,0.51,0,0.036, 2009-11-05T10:00:00
1.98,1.194,1.098,0.3,0,0.018, 2009-11-05T16:00:00
1.86,3.528,0.84,0.072,0,1.68, 2009-11-05T22:00:00
1.86,11.37,0.996,2.355,0,0.51, 2009-11-06T04:00:00
1.86,0,1.29,0.504,0,0.618, 2009-11-06T10:00:00
1.86,8.982,0.594,0.273,6.27,1.71, 2009-11-06T16:00:00
1.98,17.772,1.152,0.78,0,0, 2009-11-06T22:00:00
1.98,30.222,1.896,6.807,21.48,0.498, 2009-11-07T04:00:00
1.98,0,1.212,0.468,0,0.24, 2009-11-07T10:00:00
1.98,14.262,1.062,0.759,0,1.818, 2009-11-07T16:00:00
1.86,0.498,0.75,0.018,0,0.492, 2009-11-07T22:00:00
1.86,1.794,1.32,0.186,4.68,0.696, 2009-11-08T04:00:00
1.86,0,1.488,1.983,2.994,0.144, 2009-11-08T10:00:00
1.86,0,1.83,1.509,0,2.076, 2009-11-08T16:00:00
1.98,1.848,0.876,0.003,0,1.776, 2009-11-08T22:00:00
1.98,0,1.302,0.924,0,0.732, 2009-11-09T04:00:00
1.98,0,1.554,0.813,0,0.018, 2009-11-09T10:00:00
1.98,0.426,1.836,0.768,0,0.744, 2009-11-09T16:00:00
1.86,0,0.738,0.456,0,0.654, 2009-11-09T22:00:00
1.86,0.096,2.13,0.39,0,0.846, 2009-11-10T04:00:00
1.86,0,1.428,1.857,0,0.252, 2009-11-10T10:00:00
1.86,0.018,2.232,0.891,0,0.888, 2009-11-10T16:00:00
1.92,0,0.69,0,0,0, 2009-11-10T22:00:00
1.92,17.076,1.524,28.878,0,0.06, 2009-11-11T10:00:00
1.92,24.192,1.914,0,0,3.186, 2009-11-11T16:00:00
1.86,0,0.654,0,0,5.358, 2009-11-11T22:00:00
1.86,8.16,1.782,0.243,0,1.446, 2009-11-12T04:00:00
1.86,25.71,1.494,3.261,0,0.168, 2009-11-12T10:00:00
1.86,11.994,1.662,0,0,3.72, 2009-11-12T16:00:00
1.74,2.07,0.786,0.519,0,0.744, 2009-11-12T22:00:00
1.74,12.468,1.362,2.163,0,1.392, 2009-11-13T04:00:00
1.74,20.31,1.578,3.111,0,0.06, 2009-11-13T10:00:00
1.74,1.512,1.986,0.663,0,0.972, 2009-11-13T16:00:00
1.86,0.744,0.792,0.327,0,0, 2009-11-13T22:00:00
1.86,21.846,1.38,2.841,0,0.234, 2009-11-14T04:00:00
1.86,0.282,1.284,0.156,1.068,0.024, 2009-11-14T10:00:00
1.86,1.752,1.728,0.738,1.362,3.102, 2009-11-14T16:00:00
2.04,0.474,0.714,0.375,0,0, 2009-11-14T22:00:00
2.04,6.204,1.56,0,11.382,1.506, 2009-11-15T04:00:00
2.04,0,1.614,1.623,0,0.444, 2009-11-15T10:00:00
2.04,1.02,1.236,0.969,0,1.272, 2009-11-15T16:00:00
1.98,2.07,0.714,0.243,0,0.978, 2009-11-15T22:00:00
1.98,10.8,1.212,2.355,0,0.666, 2009-11-16T04:00:00
1.98,0,1.5,0.435,0,0.12, 2009-11-16T10:00:00
1.98,0.48,1.992,0.576,0,0.186, 2009-11-16T16:00:00
1.86,0,0.75,0.525,0,1.23, 2009-11-16T22:00:00
1.86,0,1.236,0.531,0,1.5, 2009-11-17T04:00:00
1.86,1.086,2.262,0.675,0,0.414, 2009-11-17T10:00:00
1.86,0.366,1.638,0.597,0,0.81, 2009-11-17T16:00:00
1.8,0.408,0.696,0.471,0,1.23, 2009-11-17T22:00:00
1.8,0,1.812,0.45,0,1.326, 2009-11-18T04:00:00
1.8,0.264,2.628,1.734,0,1.326, 2009-11-18T10:00:00
1.8,0.444,1.392,0.579,0,0.99, 2009-11-18T16:00:00
1.92,0,0.684,0.597,0,0, 2009-11-18T22:00:00
1.92,0,1.794,0.459,0,0.252, 2009-11-19T04:00:00
1.92,0,1.902,0.33,0,0, 2009-11-19T10:00:00
1.92,5.736,1.086,0,0,9.744, 2009-11-19T16:00:00
2.4,0,0.756,0.756,0,0.27, 2009-11-20T04:00:00
2.4,0,1.38,0.324,0,0.048, 2009-11-20T10:00:00
2.4,0,1.968,1.737,0,0.66, 2009-11-20T16:00:00
2.22,0,0.624,0.396,0,0.048, 2009-11-20T22:00:00
2.22,24.18,1.374,0,12.12,3.318, 2009-11-21T04:00:00
2.22,25.032,1.794,2.616,1.224,0.336, 2009-11-21T10:00:00
2.22,13.056,0.852,3.159,6.534,1.95, 2009-11-21T16:00:00
1.86,0,0.738,0.27,0,0.054, 2009-11-21T22:00:00
1.86,14.532,1.266,0.279,10.842,3.018, 2009-11-22T04:00:00
1.86,20.94,0.954,4.506,5.67,0.3, 2009-11-22T10:00:00
1.86,8.646,1.728,3.045,1.914,1.23, 2009-11-22T16:00:00
1.8,0,0.792,0.3,0,0, 2009-11-22T22:00:00
1.8,0,1.284,0.201,0,0.168, 2009-11-23T04:00:00
1.8,19.854,0.798,3.003,0,0.144, 2009-11-23T10:00:00
1.8,11.49,1.914,0.099,0,3.57, 2009-11-23T16:00:00
1.8,0,0.96,0.525,0,0, 2009-11-23T22:00:00
1.8,10.578,0.846,2.073,0,1.65, 2009-11-24T04:00:00
1.8,0,0.624,0.351,0,0.006, 2009-11-24T10:00:00
1.8,0,0.678,0.252,0,0, 2009-11-24T16:00:00
1.8,0,0.69,0.252,0,0, 2009-11-24T22:00:00
1.8,0,0.642,0.273,0,0, 2009-11-25T04:00:00
1.8,0,0.666,0.228,0,0, 2009-11-25T10:00:00
1.8,0,0.594,0.285,0,0.006, 2009-11-25T16:00:00
1.8,0,0.63,0.225,0,0, 2009-11-25T22:00:00
1.8,0,0.624,0.204,0,0, 2009-11-26T04:00:00
1.8,0,0.63,0.255,0,0.006, 2009-11-26T10:00:00
1.8,0,0.636,0.225,0,0, 2009-11-26T16:00:00
1.8,0,0.612,0.21,0,0, 2009-11-26T22:00:00
1.8,0,0.624,0.147,0,0, 2009-11-27T04:00:00
1.8,0,0.63,0.207,0,0.006, 2009-11-27T10:00:00
1.8,0,0.624,0.228,0,0, 2009-11-27T16:00:00
1.8,0,0.564,0.159,0,0, 2009-11-27T22:00:00
1.8,0,0.624,0.069,0,0, 2009-11-28T04:00:00
1.8,0,0.642,0.168,0,0, 2009-11-28T10:00:00
1.8,0,0.714,0.264,0,0.006, 2009-11-28T16:00:00
2.04,0,0.6,0.129,0,0, 2009-11-28T22:00:00
2.04,0,0.624,0.141,0,0, 2009-11-29T04:00:00
2.04,0,0.786,0.198,0,0, 2009-11-29T10:00:00
2.04,29.604,1.554,3.168,0,0.522, 2009-11-29T16:00:00
2.1,0,0.978,0.171,0,0, 2009-11-29T22:00:00
2.1,10.602,1.722,1.077,0,1.242, 2009-11-30T04:00:00
2.1,18.732,2.022,2.574,0,0.888, 2009-11-30T10:00:00
2.1,6.702,1.854,0,0,2.082, 2009-11-30T16:00:00
2.04,0,0.624,0.168,0,0, 2009-11-30T22:00:00
2.04,12.984,1.86,0.45,0,0.636, 2009-12-01T04:00:00
2.04,28.89,1.794,4.662,0,0.63, 2009-12-01T10:00:00
2.04,29.826,1.782,5.922,0,6.408, 2009-12-01T16:00:00
2.1,0.09,0.804,1.737,0,1.434, 2009-12-01T22:00:00
2.1,10.386,1.566,1.089,0,0.96, 2009-12-02T04:00:00
2.1,16.992,1.74,1.155,0,2.766, 2009-12-02T10:00:00
2.1,0.234,1.548,0.414,0,2.982, 2009-12-02T16:00:00
2.4,0,0.678,0.348,0,0.006, 2009-12-02T22:00:00
2.4,0,1.482,0.303,0,0.144, 2009-12-03T04:00:00
2.4,0,2.07,2.433,0,0, 2009-12-03T10:00:00
2.4,0.678,1.422,0.372,0,2.052, 2009-12-03T16:00:00
1.8,0,0.672,0.285,0,0, 2009-12-03T22:00:00
1.8,10.254,1.812,1.794,0,0.786, 2009-12-04T04:00:00
1.8,21.87,1.842,3.198,0,0.132, 2009-12-04T10:00:00
1.8,10.626,2.274,0.84,1.068,2.646, 2009-12-04T16:00:00
1.86,0,0.606,0.306,0,0, 2009-12-04T22:00:00
1.86,29.598,0.552,0.192,1.062,3.624, 2009-12-05T04:00:00
1.86,21.966,2.154,2.694,3.528,0.336, 2009-12-05T10:00:00
1.86,15.558,1.944,4.761,5.688,1.41, 2009-12-05T16:00:00
1.92,0,0.636,0.744,0,0, 2009-12-05T22:00:00
1.92,49.164,2.01,0.501,3.87,1.788, 2009-12-06T04:00:00
1.92,15.36,1.464,2.688,11.052,0.018, 2009-12-06T10:00:00
1.92,34.056,1.314,6.978,10.32,2.124, 2009-12-06T16:00:00
2.64,0,0.84,0,0,0.03, 2009-12-07T04:00:00
2.64,55.74,1.824,6.456,0,0.336, 2009-12-07T10:00:00
2.64,26.346,1.524,2.046,0,3.102, 2009-12-07T16:00:00
2.46,0,0.81,0.192,0,0, 2009-12-07T22:00:00
2.46,9.936,1.482,1.536,0,0.48, 2009-12-08T04:00:00
2.46,48.498,2.13,4.956,0,1.17, 2009-12-08T10:00:00
2.46,27.882,1.044,2.469,0,3.738, 2009-12-08T16:00:00
1.98,0,0.786,0.291,0,0, 2009-12-08T22:00:00
1.98,11.394,1.182,3.309,0,1.536, 2009-12-09T04:00:00
1.98,17.328,1.89,4.932,0,0.918, 2009-12-09T10:00:00
1.98,0.402,1.284,0.564,0,5.064, 2009-12-09T16:00:00
2.46,0,0.672,0.429,0,0, 2009-12-09T22:00:00
2.46,0,2.034,0.075,0,0.144, 2009-12-10T04:00:00
2.46,26.046,1.314,1.488,0,2.016, 2009-12-10T10:00:00
2.46,15.72,1.47,4.872,0,1.248, 2009-12-10T16:00:00
2.58,5.502,0.822,0,0,1.11, 2009-12-10T22:00:00
2.58,12.474,1.536,1.902,0,1.62, 2009-12-11T04:00:00
2.58,62.5,1.506,21.434,0,0.282, 2009-12-11T10:00:00
2.58,14.304,1.71,9.579,3.096,5.07, 2009-12-11T16:00:00
2.28,18.984,1.212,0.091,0,0.06, 2009-12-11T22:00:00
2.28,49.494,2.316,2.52,2.064,1.164, 2009-12-12T04:00:00
2.28,26.73,1.83,1.476,5.73,0.168, 2009-12-12T10:00:00
